is_null,symbol,tf,arm,kind,end_dir,rev_R,mfe_rev_atr,mae_atr,sagitta_atr,depth_atr,a_norm,arc_gain,r2_quad,L,apex_pos,mtf_up,regime,year
0,BTCUSDT,1h,2021-10-07T11:00:00+00:00,ROUNDING_TOP,DOWN,-1.0,3.108,1.643,2.4,8.0,-0.021297,0.333,0.83,30,0.67,2,1,2021
0,BTCUSDT,1h,2021-10-14T13:00:00+00:00,ROUNDING_TOP,DOWN,1.0,8.826,1.146,1.76,7.26,-0.015632,0.229,0.925,30,0.73,2,1,2021
0,BTCUSDT,1h,2021-10-17T00:00:00+00:00,ROUNDING_TOP,DOWN,-1.0,4.563,3.476,1.64,9.8,-0.003113,0.111,0.825,65,0.83,3,1,2021
0,BTCUSDT,1h,2021-10-25T09:00:00+00:00,ROUNDING_BOTTOM,UP,-1.0,1.962,2.061,1.57,6.05,0.013938,0.347,0.878,30,0.33,3,1,2021
0,BTCUSDT,1h,2021-10-27T12:00:00+00:00,ROUNDING_TOP,DOWN,1.0,5.375,1.645,2.16,6.87,-0.004094,0.631,0.898,65,0.42,0,1,2021
0,BTCUSDT,1h,2021-11-08T18:00:00+00:00,ROUNDING_BOTTOM,UP,-1.0,5.356,5.351,1.67,10.6,0.003159,0.089,0.911,65,0.11,2,1,2021
0,BTCUSDT,1h,2021-11-10T12:00:00+00:00,ROUNDING_TOP,DOWN,1.0,5.536,8.759,3.05,13.24,-0.005769,0.422,0.822,65,0.63,2,1,2021
0,BTCUSDT,1h,2021-11-16T15:00:00+00:00,ROUNDING_TOP,DOWN,-1.0,0.584,5.581,1.88,6.54,-0.003561,0.35,0.817,65,0.35,0,-1,2021
0,BTCUSDT,1h,2021-11-18T09:00:00+00:00,ROUNDING_BOTTOM,UP,1.0,6.426,1.218,2.15,9.36,0.004066,0.301,0.804,65,0.68,0,-1,2021
0,BTCUSDT,1h,2021-11-19T19:00:00+00:00,ROUNDING_BOTTOM,UP,-1.0,1.152,3.305,1.84,8.06,0.007253,0.235,0.82,45,0.71,1,-1,2021
0,BTCUSDT,1h,2021-11-26T11:00:00+00:00,ROUNDING_TOP,DOWN,1.0,2.153,0.302,2.54,7.5,-0.022613,0.694,0.928,30,0.43,0,-1,2021
0,BTCUSDT,1h,2021-11-27T07:00:00+00:00,ROUNDING_BOTTOM,UP,-1.0,1.565,1.903,2.83,10.49,0.025189,0.304,0.886,30,0.7,1,-1,2021
